Trip Request Time,Create Ticket Time,City,Country,Product Name,Locale,Modality
"",2026-04-22 12:49:26,Tampa Bay,US,,en_US,phone
"",2026-04-19 00:01:49,Tampa Bay,US,,en_US,chat
"",2026-04-18 23:44:00,Tampa Bay,US,,en_US,chat
"",2026-04-18 00:47:14,Tampa Bay,US,,en_US,chat
2026-04-12 03:36:28,2026-04-12 03:47:43,Tampa Bay,US,UberX,en_US,messaging
2026-04-12 03:36:28,2026-04-12 03:47:18,Tampa Bay,US,UberX,en_US,chat
"",2026-04-10 17:48:42,Miami,US,,en_US,phone
"",2026-04-10 17:48:32,Tampa Bay,US,,en_US,phone
"",2026-04-09 19:35:19,Miami,US,,en_US,chat
"",2026-04-09 19:35:09,Tampa Bay,US,,en_US,phone
"",2026-04-01 12:19:21,Tampa Bay,US,,en_US,chat
"",2026-03-25 17:31:23,Tampa Bay,US,,en_US,chat
"",2026-03-24 15:58:21,Tampa Bay,US,,en_US,chat
2026-02-01 20:42:08,2026-02-01 20:49:19,Tampa Bay,US,UberEATS Marketplace (delivery),en_US,messaging
2026-02-01 20:42:08,2026-02-01 20:44:39,Tampa Bay,US,UberEATS Marketplace (delivery),en_US,chat
2026-02-01 19:49:02,2026-02-01 20:35:23,Tampa Bay,US,UberEATS Marketplace (order),en_US,chat
2026-01-26 19:14:54,2026-01-26 19:35:34,Tampa Bay,US,UberEATS Marketplace (delivery),en_US,chat
"",2025-09-06 20:18:53,Tampa Bay,US,,en_US,messaging
2025-08-12 15:52:14,2025-08-12 16:18:47,Tampa Bay,US,UberX,en_US,messaging
2025-08-12 15:52:14,2025-08-12 16:15:58,Tampa Bay,US,UberX,en_US,chat
2025-08-12 15:42:33,2025-08-12 15:59:15,Tampa Bay,US,UberX,en_US,messaging
2025-08-12 15:42:33,2025-08-12 15:57:00,Tampa Bay,US,UberX,en_US,chat
"",2025-05-12 22:55:02,Tampa Bay,US,,en_US,chat
"",2024-10-16 21:36:18,Tampa Bay,US,,en_US,chat
"",2024-10-16 21:27:58,Tampa Bay,US,,en_US,chat
"",2024-10-14 18:24:43,Tampa Bay,US,,en_US,chat
2024-10-14 14:48:37,2024-10-14 15:13:36,Tampa Bay,US,UberEATS Marketplace (delivery),en_US,chat
"",2024-10-14 15:09:22,Tampa Bay,US,,en_US,chat
"",2024-07-31 15:18:10,Tampa Bay,US,,en_US,chat
"",2024-05-14 17:29:57,Tampa Bay,US,,en_US,chat
"",2024-05-08 20:41:01,Tampa Bay,US,,en_US,chat
"",2024-05-08 19:51:57,Tampa Bay,US,,en,messaging
2024-04-27 19:35:56,2024-04-28 06:23:51,Tampa Bay,US,RIDESHARE,en_US,messaging
2024-04-01 01:17:49,2024-04-01 01:52:45,Tampa Bay,US,UberX,en_US,messaging
"",2024-01-18 16:47:13,Miami,US,,en_US,messaging
"",2023-07-18 06:25:28,Miami,US,,en_US,chat
