City_Name,Restaurant_Name,Request_Time_Local,Final_Delivery_Time_Local,Order_Status,Item_Name,Item_quantity,Customizations,Customization_Cost_Local,Special_Instructions,Item_Price,Order_Price,Currency
Tampa Bay,ABC Fine Wine & Spirits (4th Street),2026-04-20T16:27:23.000Z,2026-04-20T16:52:28.000Z,completed,Alamos Mendoza Argentina Malbec Red Wine (25.3 fl oz),1,"",,"",12.29,38.41,USD
Tampa Bay,ABC Fine Wine & Spirits (4th Street),2026-04-20T16:27:23.000Z,2026-04-20T16:52:28.000Z,completed,"Catena Zapata Mendoza Argentina Malbec Red Wine, 2019 (750 ml)",1,"",,"",19.9,38.41,USD
Tampa Bay,Five Guys (7074 US Hwy 19N) FL - 197,2026-04-02T13:03:09.000Z,2026-04-02T14:33:13.000Z,completed,Little Bacon Cheeseburger,1,"Ketchup (+30 Calories), Mayo (+110 Calories)",0.0,"",11.99,18.89,USD
Tampa Bay,Five Guys (7074 US Hwy 19N) FL - 197,2026-04-02T13:03:09.000Z,2026-04-02T14:33:13.000Z,completed,Little Fries,1,"",,"",6.59,18.89,USD
Tampa Bay,Five Guys (2201 Tyrone Blvd N) FL - 375,2026-03-22T13:41:14.000Z,2026-03-22T14:36:34.000Z,completed,Little Cheeseburger,1,"Grilled Onions (+ 10 Calories), Ketchup (+30 Calories), Mustard (+ 0 Calories)",0.0,"",9.71,34.3,USD
Tampa Bay,Five Guys (2201 Tyrone Blvd N) FL - 375,2026-03-22T13:41:14.000Z,2026-03-22T14:36:34.000Z,completed,Little Bacon Cheeseburger,1,"Ketchup (+30 Calories), Mayo (+110 Calories)",0.0,"",10.91,34.3,USD
Tampa Bay,Five Guys (2201 Tyrone Blvd N) FL - 375,2026-03-22T13:41:14.000Z,2026-03-22T14:36:34.000Z,completed,Little Fries,1,"",,"",5.63,34.3,USD
Tampa Bay,McDonald's® (Northside),2026-03-12T12:12:59.000Z,2026-03-12T12:37:37.000Z,completed,2 Mix & Match Snack Wrap® Meal,1,"2 Mix & Match Snack Wrap® Meal, Medium Coke®, Shredded Cheese, McCrispy™ Ranch Sauce, Shredded Lettuce, Salt, Ice, Spicy Pepper Sauce",0.0,"",11.19,22.4,USD
Tampa Bay,McDonald's® (Northside),2026-03-12T12:12:59.000Z,2026-03-12T12:37:37.000Z,completed,Big Mac® Meal,1,"1/10 Lb Beef, Medium Coke®, Shredded Lettuce, Salt, Big Mac® Meal, Diced Onions, American Cheese, Ice, Big Mac® Bun, Pickle, Mac Sauce",0.0,"",10.09,22.4,USD
Tampa Bay,Walgreens (875 Dr Martin Luther King Jr St N),2026-03-08T13:48:55.000Z,2026-03-08T15:02:26.000Z,completed,"Lay's Potato Chips, Barbecue (7.75 oz)",1,"",,"",5.23,26.2,USD
